Chambre;Emplacement;RawScan;Nb caisse;Nb bocaux;RawScan-Mani p;Strain;Line;Date;NbSem;AgeAMS;Type;Bocaux;Milieu;Rang;XorEorRori ;Rang/Rang+;Type+Rang;nom_varietes;Batch#;BatchLines;Qualité CHF;;;;0;;;1;< alt+e;;
1;1A21;709220250819E+1279 ;2;;709220250819E+1;BRAHY;2311;19/08/2025;4;4 sem.;E+12;28;E+;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1A21;869720250826XS1536 ;4;5;869720250826XS1;RAWD;2301;26/08/2025;3;3 sem.;XS15;61;XS;15;X;13+;X13+;RAWDAH;RAWDAH 1;2301;;;;;;;;;;;
1;1A21;870320250819E+1236 ;;7;870320250819E+1;ISEHS;9308;19/08/2025;4;4 sem.;E+12;7;E+;12;X;12;X12;SHESHI;SHESHI 03;9308;;;;;;;;;;;
1;1A21;564020250916X 1720 ;10;4;564020250916X 1;MDJU;2306;16/09/2025;0;< 1 sem.;X 17;144;X ;17;X;13+;X13+;MEDJOOL;MEDJOOL 109;2306;;;;;;;;;;;
1;1A21;594820250904X 2 36 ;4;;594820250904X 2;MDJU;2406;04/09/2025;2;2 sem.;X 2 ;56;X ;2;X;2;X2;MEDJOOL;MEDJOOL 111;2406;;;;;;;;;;;
1;1A20;594820250903AW2 36 ;4;7;594820250903AW2;MDJU;2406;03/09/2025;2;2 sem.;AW2 ;63;AW;2;X;2;X2;MEDJOOL;MEDJOOL 111;2406;;;;;;;;;;;
1;1B52;709220250912E+1318 ;7;2;709220250912E+1;BRAHY;2311;12/09/2025;0;< 1 sem.;E+13;100;E+;13;X;13+;X13+;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B52;709220250916XM1371 ;2;;709220250916XM1;BRAHY;2311;16/09/2025;0;< 1 sem.;XM13;28;XM;13;X;13+;X13+;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B52;709220250916XM1271 ;2;;709220250916XM1;BRAHY;2311;16/09/2025;0;< 1 sem.;XM12;28;XM;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B52;870320250825E+1236 ;3;;870320250825E+1;ISEHS;9308;25/08/2025;3;3 sem.;E+12;42;E+;12;X;12;X12;SHESHI;SHESHI 03;9308;;;;;;;;;;;
1;1B52;564020250829RG1738 ;;7;564020250829RG1;MDJU;2306;29/08/2025;2;2 sem.;RG17;7;RG;17;X;13+;X13+;MEDJOOL;MEDJOOL 109;2306;;;;;;;;;;;
1;1B52;564020250829RG1738 ;1;;564020250829RG1;MDJU;2306;29/08/2025;2;2 sem.;RG17;14;RG;17;X;13+;X13+;MEDJOOL;MEDJOOL 109;2306;;;;;;;;;;;
1;1B52;564020250827E+1738 ;;5;564020250827E+1;MDJU;2306;27/08/2025;3;3 sem.;E+17;5;E+;17;X;13+;X13+;MEDJOOL;MEDJOOL 109;2306;;;;;;;;;;;
1;1B51;564020250910X 1720 ;12;;564020250910X 1;MDJU;2306;10/09/2025;1;1 sem.;X 17;168;X ;17;X;13+;X13+;MEDJOOL;MEDJOOL 109;2306;;;;;;;;;;;
1;1B51;870220250813RG127  ;12;2;870220250813RG1;FAIZ;9308;13/08/2025;5;1 mois ;RG12;170;RG;12;X;12;X12;FAYZEH;FAYZEH 01;9308;;;;;;;;;;;
1;1B41;825520250818X 2420 ;7;7;825520250818X 2;FAR F;257;18/08/2025;4;1 mois ;X 24;105;X ;24;X;13+;X13+;FARD femelle;FARD 20;253-262;;;;;;;;;;;
1;1B41;870220250813RG1220 ;9;2;870220250813RG1;FAIZ;9308;13/08/2025;5;1 mois ;RG12;128;RG;12;X;12;X12;FAYZEH;FAYZEH 01;9308;;;;;;;;;;;
1;1B41;709220250821X 1379 ;2;;709220250821X 1;BRAHY;2311;21/08/2025;4;4 sem.;X 13;28;X ;13;X;13+;X13+;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B41;709220250819E+1279 ;1;5;709220250819E+1;BRAHY;2311;19/08/2025;4;4 sem.;E+12;19;E+;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B42;709220250912E+1350 ;23;;709220250912E+1;BRAHY;2311;12/09/2025;0;< 1 sem.;E+13;322;E+;13;X;13+;X13+;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B32;709220250825XM1215 ;28;11;709220250825XM1;BRAHY;2311;25/08/2025;3;3 sem.;XM12;403;XM;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B31;730820250910E+237  ;2;1;730820250910E+2;GND;6;10/09/2025;1;1 sem.;E+23;29;E+;23;X;13+;X13+;GANDA;GANDA 2;2-6;;;;;;;;;;;
1;1B31;730820250910XS237  ;3;6;730820250910XS2;GND;6;10/09/2025;1;1 sem.;XS23;48;XS;23;X;13+;X13+;GANDA;GANDA 2;2-6;;;;;;;;;;;
1;1B31;709220250820X 1379 ;1;;709220250820X 1;BRAHY;2311;20/08/2025;4;4 sem.;X 13;14;X ;13;X;13+;X13+;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B31;709220250818E+1279 ;2;;709220250818E+1;BRAHY;2311;18/08/2025;4;1 mois ;E+12;28;E+;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B31;709220250818E+1279 ;2;;709220250818E+1;BRAHY;2311;18/08/2025;4;1 mois ;E+12;28;E+;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B31;709220250820X 1379 ;1;6;709220250820X 1;BRAHY;2311;20/08/2025;4;4 sem.;X 13;20;X ;13;X;13+;X13+;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B31;869720250826XS1536 ;2;6;869720250826XS1;RAWD;2301;26/08/2025;3;3 sem.;XS15;34;XS;15;X;13+;X13+;RAWDAH;RAWDAH 1;2301;;;;;;;;;;;
1;1B31;869720250825XM1536 ;5;6;869720250825XM1;RAWD;2301;25/08/2025;3;3 sem.;XM15;76;XM;15;X;13+;X13+;RAWDAH;RAWDAH 1;2301;;;;;;;;;;;
1;1B21;869720250807X 1620 ;9;1;869720250807X 1;RAWD;2301;07/08/2025;6;1 mois 1 sem.;X 16;127;X ;16;X;13+;X13+;RAWDAH;RAWDAH 1;2301;;;;;;;;;;;
1;1B21;825520250819E+237  ;16;;825520250819E+2;FAR F;257;19/08/2025;4;4 sem.;E+23;224;E+;23;X;13+;X13+;FARD femelle;FARD 20;253-262;;;;;;;;;;;
1;1B22;709220250908XM1215 ;21;;709220250908XM1;BRAHY;2311;08/09/2025;1;1 sem.;XM12;294;XM;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1A10;594820250904X 2 36 ;17;;594820250904X 2;MDJU;2406;04/09/2025;2;2 sem.;X 2 ;238;X ;2;X;2;X2;MEDJOOL;MEDJOOL 111;2406;;;;;;;;;;;
1;1A11;870320250819XM1236 ;1;6;870320250819XM1;ISEHS;9308;19/08/2025;4;4 sem.;XM12;20;XM;12;X;12;X12;SHESHI;SHESHI 03;9308;;;;;;;;;;;
1;1A11;709220250828G 6 14 ;20;;709220250828G 6;BRAHY;2311;28/08/2025;3;3 sem.;G 6 ;280;G ;6;X;6;X6;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1A12;870220250825E+1338 ;4;;870220250825E+1;FAIZ;9308;25/08/2025;3;3 sem.;E+13;56;E+;13;X;13+;X13+;FAYZEH;FAYZEH 01;9308;;;;;;;;;;;
1;1A12;870320250814E+1236 ;4;;870320250814E+1;ISEHS;9308;14/08/2025;5;1 mois ;E+12;56;E+;12;X;12;X12;SHESHI;SHESHI 03;9308;;;;;;;;;;;
1;1B12;709220250909XM1287 ;1;4;709220250909XM1;BRAHY;2311;09/09/2025;1;1 sem.;XM12;18;XM;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B12;709220250908XM1215 ;4;;709220250908XM1;BRAHY;2311;08/09/2025;1;1 sem.;XM12;56;XM;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B12;564020250912X 1720 ;7;1;564020250912X 1;MDJU;2306;12/09/2025;0;< 1 sem.;X 17;99;X ;17;X;13+;X13+;MEDJOOL;MEDJOOL 109;2306;;;;;;;;;;;
1;1B11;761320250909XS187  ;1;5;761320250909XS1;ISEHS;120;09/09/2025;1;1 sem.;XS18;19;XS;18;X;13+;X13+;SHESHI;SHESHI 22;116-120;;;;;;;;;;;
1;1B11;870820250903E+1036 ;8;5;870820250903E+1;ISEHS;9312;03/09/2025;2;2 sem.;E+10;117;E+;10;X;10;X10;SHESHI;SHESHI 04;9312;;;;;;;;;;;
1;1B11;860820250829XM2838 ;3;;860820250829XM2;ISEHS;2;29/08/2025;2;2 sem.;XM28;42;XM;28;X;13+;X13+;SHESHI;SHESHI 02;2;;;;;;;;;;;
1;1B11;709220250828G 6 14 ;3;;709220250828G 6;BRAHY;2311;28/08/2025;3;3 sem.;G 6 ;42;G ;6;X;6;X6;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
1;1B11;871020250825X 9 36 ;;3;871020250825X 9;FAIZ;9312;25/08/2025;3;3 sem.;X 9 ;3;X ;9;X;9;X9;FAYZEH;FAYZEH 02;9312;;;;;;;;;;;
1;1B11;729020250731RG1636 ;;4;729020250731RG1;FAR F;155;31/07/2025;7;1 mois 2 sem.;RG16;4;RG;16;X;13+;X13+;FARD femelle;FARD 13;141-155;;;;;;;;;;;
1;1B11;862320250825X 1536 ;;3;862320250825X 1;GAIS;120;25/08/2025;3;3 sem.;X 15;3;X ;15;X;13+;X13+;SAGGAI;SAGGAI 16;116-120;;;;;;;;;;;
1;1B30;730820250805XM2236 ;;3;730820250805XM2;GND;6;05/08/2025;6;1 mois 1 sem.;XM22;3;XM;22;X;13+;X13+;GANDA;GANDA 2;2-6;;BR;;;;;;;;;
1;1Z01;870220250827E+1338 ;7;;870220250827E+1;FAIZ;9308;27/08/2025;3;3 sem.;E+13;98;E+;13;X;13+;X13+;FAYZEH;FAYZEH 01;9308;;;;;;;;;;;
1;1Z01;870520250811RG1120 ;2;;870520250811RG1;MDJU;2311;11/08/2025;5;1 mois 1 sem.;RG11;28;RG;11;X;11;X11;MEDJOOL;MEDJOOL 110;2311;;;;;;;;;;;
1;1Z01;869920250623E 2 87 ;8;;869920250623E 2;GNAMY;2306;23/06/2025;12;2 mois 3 sem.;E 2 ;112;E ;2;E;2;E2;GHANAMI;GHANAMI 45;2306;;;;;;;;;;;
2;2A51;866120250910E 7 71 ;;3;866120250910E 7;BRAHY;2977;10/09/2025;1;1 sem.;E 7 ;3;E ;7;E;7+;E7+;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A51;866120250910E 4 50 ;;6;866120250910E 4;BRAHY;2977;10/09/2025;1;1 sem.;E 4 ;6;E ;4;E;4;E4;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A51;866120250910E 8 71 ;;2;866120250910E 8;BRAHY;2977;10/09/2025;1;1 sem.;E 8 ;2;E ;8;E;7+;E7+;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
